step value prob
3 82 1.115761516535069e-12
4 82 3.315591332487096e-12
1 83 1.984033884958225e-13
2 83 5.62486927243826e-12
3 83 1.823978484780798e-12
4 83 5.334044667034918e-12
1 84 2.573737933871652e-13
2 84 7.038264270179057e-12
3 84 2.282680953680838e-12
4 84 6.627998029605682e-12
1 85 5.295249494674723e-13
2 85 1.479192185661383e-11
3 85 4.713804250617333e-12
4 85 1.414884641048663e-11
1 86 5.655189224016387e-13
2 86 1.639391145927445e-11
3 86 5.163201720958128e-12
4 86 1.593775700787056e-11
1 87 3.6213234260188e-13
2 87 1.027417049690686e-11
3 87 3.301306783083815e-12
4 87 9.800170276129341e-12
1 88 2.695258828282555e-13
2 88 7.794533652692369e-12
3 88 2.543563646378058e-12
4 88 7.463716111188641e-12
1 89 2.754027664923977e-13
2 89 7.796131011363104e-12
3 89 2.411142021102256e-12
4 89 7.221993006587091e-12
1 90 4.021068941110087e-12
2 90 1.160108731338767e-10
3 90 3.576792207350558e-11
4 90 1.06437195144978e-10
1 91 4.607116885414593e-13
2 91 1.323044060908044e-11
3 91 3.980189939237359e-12
4 91 1.223092577963004e-11
1 92 2.870325106032771e-13
2 92 8.380802899163209e-12
3 92 2.711682707967684e-12
4 92 7.90460903875656e-12
1 93 6.900224185956175e-13
2 93 1.922277434000076e-11
3 93 6.253556014073232e-12
4 93 1.837526657590599e-11
1 94 3.495383054506439e-13
2 94 9.518478138546316e-12
3 94 3.118978711029437e-12
4 94 9.585680922611044e-12
1 95 1.295876518763641e-12
2 95 3.64247594032457e-11
3 95 1.157771859230456e-11
4 95 3.510321260606926e-11
1 96 5.321310524681672e-13
2 96 1.544473147366629e-11
3 96 4.810624627798809e-12
4 96 1.408227375746514e-11
1 97 5.39673390298441e-13
2 97 1.547328218016619e-11
3 97 4.960670767174721e-12
4 97 1.493011999305282e-11
1 98 4.414947325304806e-13
2 98 1.261819625813625e-11
3 98 3.959612616753218e-12
4 98 1.190314235806835e-11
1 99 9.221886377071923e-13
2 99 2.733964397825645e-11
3 99 8.685309130008015e-12
4 99 2.598788806844902e-11
1 100 4.160528621421154e-11
2 100 1.251983478610741e-09
3 100 4.01411715848613e-10
4 100 1.126650400557314e-09

# sampled_sequences
sequence_idx step_idx value
0 0 14196
0 1 4077
0 2 717
0 3 220
1 0 16
1 1 220
1 2 975
1 3 220
2 0 14196
2 1 4077
2 2 1114
2 3 220
3 0 5037
3 1 220
3 2 1758
3 3 220
4 0 4513
4 1 220
4 2 5313
4 3 220
5 0 16
5 1 220
5 2 3391
5 3 220
6 0 14196
6 1 4077
6 2 717
6 3 198
7 0 21884
7 1 220
7 2 975
7 3 220
8 0 4513
8 1 220
8 2 975
8 3 220
9 0 25189
9 1 482
9 2 64332
9 3 56
10 0 14196
10 1 4077
10 2 23
10 3 220
11 0 14196
11 1 4077
11 2 3391
11 3 220
12 0 2397
12 1 220
12 2 5958
12 3 220
13 0 14196
13 1 4077
13 2 717
13 3 220
14 0 14196
14 1 4077
14 2 2075
14 3 220
15 0 16
15 1 220
15 2 2721
15 3 220
16 0 14196
16 1 4077
16 2 3080
16 3 220
17 0 16
17 1 220
17 2 975
17 3 220
18 0 14196
18 1 4077
18 2 3080
18 3 220
19 0 1419
19 1 220
19 2 975
19 3 220
20 0 14196
20 1 4077
20 2 4370
20 3 220
21 0 14196
21 1 4077
21 2 16
21 3 220
22 0 19
22 1 220
22 2 17
22 3 220
23 0 14196
23 1 4077
23 2 20
23 3 220
24 0 17
24 1 220
24 2 6365
24 3 220
25 0 2983
25 1 220
25 2 5925
25 3 220
26 0 16
26 1 220
26 2 4331
26 3 220
27 0 16
27 1 220
27 2 4370
27 3 220
28 0 14196
28 1 4077
28 2 5495
28 3 220
29 0 717
29 1 220
29 2 1544
29 3 220
30 0 23
30 1 220
30 2 2983
30 3 220
31 0 5979
31 1 95212
31 2 220
31 3 4044
